dataset,task,sample_id,problem_id,sample_index,fp16_score,kivi_score,patternkv_score,pattern_minus_kivi,pattern_minus_fp16,fp16_correct,kivi_correct,patternkv_correct,input_tokens,fp16_output_tokens,kivi_output_tokens,patternkv_output_tokens,fp16_stop_reason,kivi_stop_reason,patternkv_stop_reason,fp16_hit_max,kivi_hit_max,patternkv_hit_max,quantized_tokens,fp16_residual_tokens,dynamic_pattern_count_k,dynamic_pattern_count_v,assignment_bytes,mask_bytes,centroid_bytes,config_hash,git_commit,error
longbench,2wikimqa,2wikimqa:33e3bc2dc011e79c047553153b1ab176c6a08f923af245ec,,28,50.0,50.0,50.0,0.0,0.0,,,,6665,7,7,7,eos,eos,eos,False,False,False,6544,128,0,0,27262976,1703936,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:35ffcf04ff64965decfcd3d34ff37b35da2a92f0b64346cd,,31,15.38,17.39,16.0,-1.3900000000000006,0.6199999999999992,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:37022dee1597491021c2aa7522276a600eb0dd316f12cbb6,,11,100.0,100.0,100.0,0.0,0.0,,,,5464,8,8,8,eos,eos,eos,False,False,False,5344,128,0,0,22020096,1376256,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:3924e4ac5039ce3fadda49604bfcb0f5238af81774616e53,,1,0.0,0.0,0.0,0.0,0.0,,,,6974,2,2,2,eos,eos,eos,False,False,False,6848,128,0,0,28311552,1769472,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:40de6f6c353c080845a8ea644039e9ba83cd481d3745395b,,30,66.67,66.67,66.67,0.0,0.0,,,,6925,13,13,13,eos,eos,eos,False,False,False,6810,128,0,0,28311552,1769472,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:41ac2a4beb0af8f58d01863a62b90692f7c7d74b5e3a58d9,,0,40.0,40.0,40.0,0.0,0.0,,,,7105,10,10,10,eos,eos,eos,False,False,False,6987,128,0,0,28835840,1802240,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:4413705182b57f12dc553e0919b50fd3c3b111cb4d82d12f,,17,8.0,10.0,8.0,-2.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8086,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:47ed89f40cae521df8767b1b7077fe9c547c10fd8bf1c6b2,,32,0.0,0.0,0.0,0.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:4b28d517ce1c1e3cfec9282ca7b212c1cb87c254781d7c86,,4,0.0,0.0,0.0,0.0,0.0,,,,7215,6,6,6,eos,eos,eos,False,False,False,7093,128,0,0,29360128,1835008,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:4db5bcd1d49fce674507d9128850eb71b808b7dc4246e882,,8,85.71,85.71,85.71,0.0,0.0,,,,5860,7,8,7,eos,eos,eos,False,False,False,5739,128,0,0,23592960,1474560,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:538d0eac8ec082e93d6f273237fafd1f23fb405e35bad84e,,10,33.33,33.33,33.33,0.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:5421c1e591296d64636a7e99fbfe98dddfed0f83d2053380,,49,100.0,100.0,100.0,0.0,0.0,,,,4827,6,6,6,eos,eos,eos,False,False,False,4705,128,0,0,19398656,1212416,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:55acb15a501d22031778ff4ccb655e787668b617d911daa9,,40,0.0,0.0,0.0,0.0,0.0,,,,7045,5,5,5,eos,eos,eos,False,False,False,6922,128,0,0,28835840,1802240,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:57543e0892f90733bf97dc270cdb36eb9bf8e2230940bcb9,,41,100.0,100.0,100.0,0.0,0.0,,,,3841,4,4,4,eos,eos,eos,False,False,False,3717,128,0,0,15728640,983040,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:5844352bd3fe5898756970abec3099ec694be6ad15c498db,,16,0.0,50.0,0.0,-50.0,0.0,,,,2613,7,24,8,eos,eos,eos,False,False,False,2493,128,0,0,10485760,655360,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:5ff6349ea0b2ecb882f535ff3cec2f9c012d3468fb7b912e,,45,12.5,13.33,12.5,-0.8300000000000001,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:6275ba9fee197d2fab82671a4497b4764a461c2c7c33ac0b,,29,0.0,0.0,0.0,0.0,0.0,,,,7171,6,5,5,eos,eos,eos,False,False,False,7048,128,0,0,29360128,1835008,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:655c0c4e465b47d7fd829d3a487705991f4c059cee3c9aed,,24,26.09,28.57,28.57,0.0,2.4800000000000004,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:6e7c0185fda0b6211274db748205994ee1468cfb30e2023d,,39,0.0,0.0,0.0,0.0,0.0,,,,6950,6,9,6,eos,eos,eos,False,False,False,6828,128,0,0,28311552,1769472,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:6e7d2d0700c8ec6fc15dc188c42d8104b89935219254fdaf,,37,33.33,33.33,33.33,0.0,0.0,,,,4344,7,6,6,eos,eos,eos,False,False,False,4222,128,0,0,17301504,1081344,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:7140432f1c424674d04ea819fa63f85aa4f154d72ab66285,,47,0.0,0.0,0.0,0.0,0.0,,,,5615,7,4,4,eos,eos,eos,False,False,False,5491,128,0,0,22544384,1409024,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:7c0b13a81d9d58791b71c2d8e46d2d063de3b9e89c75335f,,23,20.0,20.0,20.0,0.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:81cd47ec621f2228d8bb4ec351ffd6b23d23107e5b287ffb,,5,25.0,25.0,8.7,-16.3,-16.3,,,,7355,11,11,32,eos,eos,length,False,False,True,7259,128,0,0,29884416,1867776,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:8720ebfc91b6860392a2b7b0ba954b0cd16ffd8c360a1f2b,,25,100.0,100.0,100.0,0.0,0.0,,,,1632,8,8,8,eos,eos,eos,False,False,False,1512,128,0,0,6291456,393216,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:8d3cf7916a2f8a2762de13a9520b6350e46464fbf7f63dd5,,15,0.0,0.0,0.0,0.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:8daefc2a4f66b3614a6934857c8c8f9cfdeb3ca23d16e172,,35,80.0,33.33,44.44,11.11,-35.56,,,,4577,8,19,16,eos,eos,eos,False,False,False,4465,128,0,0,18350080,1146880,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:8dedfb4f00b873379cb4457d81113516b8db6c4017a1c912,,22,34.78,34.78,29.63,-5.150000000000002,-5.150000000000002,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:90f7f51f0c27f041e730cf8893f79f3f40fcb0aab1820a4d,,12,60.0,60.0,60.0,0.0,0.0,,,,2350,9,9,9,eos,eos,eos,False,False,False,2231,128,0,0,9437184,589824,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:919cc6b1e482c475dc93740aae3549bc6012d644fb29562c,,26,100.0,100.0,100.0,0.0,0.0,,,,4749,5,5,5,eos,eos,eos,False,False,False,4626,128,0,0,19398656,1212416,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:9a0ab728b48d43221f196b43d2816a4dff4142fd0054a4eb,,38,22.22,23.53,20.0,-3.530000000000001,-2.219999999999999,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:aec83da1f2faf6ec8badfd53d632f525c9ef2090d99d1c6c,,3,10.0,10.0,10.0,0.0,0.0,,,,8192,32,32,32,length,length,length,True,True,True,8087,128,1,1,33554432,2097152,4325376,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:b126cad8f81aed3c5cc29c20c25b1adc7d1f33e1c4e264c3,,43,100.0,100.0,100.0,0.0,0.0,,,,8090,6,6,6,eos,eos,eos,False,False,False,7968,128,0,0,33030144,2064384,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:b3845fcad97309850a76e3720cd829a45d2bb12ee29a9cfb,,19,100.0,100.0,100.0,0.0,0.0,,,,5360,5,5,5,eos,eos,eos,False,False,False,5237,128,0,0,21495808,1343488,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:bc40752faddd32264f8402321411881736ab5a4733eee758,,36,0.0,0.0,0.0,0.0,0.0,,,,6681,4,5,4,eos,eos,eos,False,False,False,6557,128,0,0,27262976,1703936,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
longbench,2wikimqa,2wikimqa:be97290f663a83ba27007dd262ca2a6072c9156f775a24ad,,9,100.0,100.0,100.0,0.0,0.0,,,,7468,5,5,4,eos,eos,eos,False,False,False,7344,128,0,0,30408704,1900544,4194304,8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6|8b0c361c11503aeec7e455ed3e7d7cef6f2ac9b12b2e4b45d5be5800628a66d6,dbe38273c44c7c1c395eea747a9f0878a32fb504,
