branch	head_sha	short_sha	last_commit_date	subject	classification	relationship_to_main	relationship_to_system	relationship_to_generalization	scientific_purpose	still_active	contains_unique_commits_vs_system	recommended_action
bounded/exp/aime-selective-value-precision-3090	241b832aee31c0e328d13675efb7819508c29ac9	241b832	2026-08-10 09:40:44 +0800	run: complete selective Value precision screen	HISTORICAL_EXPERIMENT	main_only=0;branch_only=62;merged_into_main=False	system_only=62;branch_only=0;merged_into_system=True	generalization_only=50;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/aime-value-capacity-budget-3090	83c46ed1252a32ca42dcb81e172bd3e4c0a060a0	83c46ed	2026-08-10 11:59:03 +0800	run: complete Value capacity budget study	HISTORICAL_EXPERIMENT	main_only=0;branch_only=63;merged_into_main=False	system_only=61;branch_only=0;merged_into_system=True	generalization_only=49;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/aime-value-direction-screen-3090	47cf601fcfd4b20fa3823fe540b1d48ca9920d7d	47cf601	2026-08-09 20:14:55 +0800	run: complete direction-aware Value mechanism screen	HISTORICAL_EXPERIMENT	main_only=0;branch_only=59;merged_into_main=False	system_only=65;branch_only=0;merged_into_system=True	generalization_only=53;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/aime-value-objective-screen-3090	fd6748b9f93c8b357c5643e07d8e482438bdcd45	fd6748b	2026-08-09 19:21:41 +0800	exp: audit mechanism-guided Value objectives	HISTORICAL_EXPERIMENT	main_only=0;branch_only=57;merged_into_main=False	system_only=67;branch_only=0;merged_into_system=True	generalization_only=55;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/patternkv-4090-range-aware-targeted	03db01ee96ec7a46da5baa0dcc6395eefa410370	03db01e	2026-08-06 00:12:53 +0800	feat: prepare 4090 targeted range-aware collection	HISTORICAL_EXPERIMENT	main_only=0;branch_only=14;merged_into_main=False	system_only=115;branch_only=5;merged_into_system=False	generalization_only=103;branch_only=5;merged_into_generalization=False	Historical experiment branch.	no	yes	REVIEW_REQUIRED
bounded/exp/patternkv-insight-wave-a-4090-runtime6c88	6d6cdcb74d0e4611a9274660dfdc132161b5318b	6d6cdcb	2026-08-05 17:41:31 +0800	fix: preserve single-4090 sample selection	HISTORICAL_EXPERIMENT	main_only=0;branch_only=10;merged_into_main=False	system_only=117;branch_only=3;merged_into_system=False	generalization_only=105;branch_only=3;merged_into_generalization=False	Historical experiment branch.	no	yes	REVIEW_REQUIRED
bounded/exp/patternkv-insight-wave-a-4gpu	ce4ef0749680aebe016aeaa06e6e22ff9d711167	ce4ef07	2026-08-06 15:24:10 +0800	docs: publish completed AIME24 results	HISTORICAL_EXPERIMENT	main_only=0;branch_only=10;merged_into_main=False	system_only=114;branch_only=0;merged_into_system=True	generalization_only=102;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/patternkv-longbench-data-parity-wave-a	0cc1a8dc838ae5c9365fea701cfcd65a9c0c0b63	0cc1a8d	2026-08-04 23:06:17 +0800	Restore LongBench parity and Insight Wave A gate	HISTORICAL_EXPERIMENT	main_only=0;branch_only=5;merged_into_main=False	system_only=119;branch_only=0;merged_into_system=True	generalization_only=107;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/exp/patternkv-parity-microsmoke-wave-a	f1e074b8272aa80d062d6cd852ab1fe036ab2afb	f1e074b	2026-08-04 22:08:28 +0800	exp: audit Insight parity gate execution	HISTORICAL_EXPERIMENT	main_only=0;branch_only=4;merged_into_main=False	system_only=120;branch_only=0;merged_into_system=True	generalization_only=108;branch_only=0;merged_into_generalization=True	Historical experiment branch.	no	no	ARCHIVE_CANDIDATE
bounded/insight/patternkv-diagnostics-v1	9d0afb7ef470253cb16fdb02c34d4685e44c65d2	9d0afb7	2026-08-04 20:32:46 +0800	feat: add PatternKV insight diagnostics and oracle analysis	HISTORICAL_EXPERIMENT	main_only=0;branch_only=1;merged_into_main=False	system_only=123;branch_only=0;merged_into_system=True	generalization_only=111;branch_only=0;merged_into_generalization=True	Historical insight/diagnostic development branch.	no	no	ARCHIVE_CANDIDATE
bounded/insight/patternkv-observer-wave-a	4b877cdf471bc749526570f325f1e1fca3666329	4b877cd	2026-08-04 20:59:10 +0800	feat: connect PatternKV observer and run Wave A diagnostics	HISTORICAL_EXPERIMENT	main_only=0;branch_only=2;merged_into_main=False	system_only=122;branch_only=0;merged_into_system=True	generalization_only=110;branch_only=0;merged_into_generalization=True	Historical insight/diagnostic development branch.	no	no	ARCHIVE_CANDIDATE
bounded/insight/patternkv-runner-parity-wave-a	18e2f788ba47225e251a94cb2606d53e2203294a	18e2f78	2026-08-04 21:34:07 +0800	feat: connect real insight runner and validate Wave A parity	HISTORICAL_EXPERIMENT	main_only=0;branch_only=3;merged_into_main=False	system_only=121;branch_only=0;merged_into_system=True	generalization_only=109;branch_only=0;merged_into_generalization=True	Historical insight/diagnostic development branch.	no	no	ARCHIVE_CANDIDATE
bounded/repro/patternkv-longbench-8k-single4090	2fc966681edca1a932c61ac77d956bbbda998833	2fc9666	2026-08-04 17:38:48 +0800	Add 4090 LongBench 21x50 8K results	HISTORICAL_EXPERIMENT	main_only=3;branch_only=0;merged_into_main=True	system_only=127;branch_only=0;merged_into_system=True	generalization_only=115;branch_only=0;merged_into_generalization=True	Historical reproduction/evaluation branch.	no	no	ARCHIVE_CANDIDATE
bounded/release/causal-v4-25-system-v1	0ca6debff700f68ae8ff536e77ddb2cb1e68d69d	0ca6deb	2026-08-16 13:11:20 +0800	test: profile heterogeneous causal attention path	RELEASE	main_only=0;branch_only=124;merged_into_main=False	system_only=0;branch_only=0;merged_into_system=True	generalization_only=0;branch_only=12;merged_into_generalization=False	Stable pre-state-merge system checkpoint.	no	no	KEEP
